size_sqft,bedrooms,bathrooms,lot_size,year_built,garage_spaces,location,price
1450,3,2,0.25,1985,2,Urban,285000
1800,4,2.5,0.30,1992,2,Urban,325000
2100,4,3,0.40,2001,2,Suburban,375000
1600,3,2,0.20,1978,1,Urban,245000
2400,5,3.5,0.50,2010,3,Suburban,450000
1200,2,1,0.15,1965,1,Rural,175000
1950,4,2.5,0.35,1998,2,Suburban,355000
1700,3,2,0.25,1988,2,Urban,295000
2200,4,3,0.45,2005,2,Suburban,395000
1300,2,1.5,0.18,1972,1,Rural,195000
2500,5,4,0.55,2015,3,Suburban,485000
1550,3,2,0.22,1980,1,Urban,265000
1100,2,1,0.12,1958,1,Rural,160000
1850,4,2.5,0.32,1995,2,Suburban,345000
2000,4,3,0.38,2003,2,Suburban,365000
1400,3,2,0.24,1982,1,Urban,275000
2300,5,3.5,0.48,2008,3,Suburban,435000
1650,3,2,0.21,1975,1,Urban,255000
1900,4,2.5,0.34,1990,2,Suburban,355000
1250,2,1.5,0.16,1968,1,Rural,185000
2600,5,4,0.60,2018,3,Suburban,520000
1500,3,2,0.23,1986,2,Urban,285000
1150,2,1,0.14,1960,0,Rural,155000
2050,4,3,0.42,2004,2,Suburban,385000
1750,3,2.5,0.28,1993,2,Suburban,315000
1350,3,2,0.19,1979,1,Urban,265000
2150,4,3,0.44,2006,2,Suburban,405000
1550,3,2,0.26,1984,1,Urban,285000
1800,4,2.5,0.31,1991,2,Suburban,335000
1200,2,1,0.13,1955,0,Rural,165000